TITLE,TYPEID,Name,Description,Icon_color,Long,Lat,URL,Thumb_URL,주소
여주시청,77,여주시청,여주시청,R,37.298283,127.637342,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,세종로1
여수공항관제탑,78,여수공항관제탑,여수공항관제탑,R,34.8425,127.612639,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,율촌면여순로386
양평군청,79,양평군청,양평군청,R,37.4917,127.4876,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,양평읍군청앞길2
여수지사,80,여수지사,여수지사,R,34.845,127.77285,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,전남여수시낙포동1157
청주시청,81,청주시청,청주시청,R,36.38,127.29,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,상당구상당로155
한전원전연료(주),82,한전원전연료(주),한전원전연료(주),R,36.256908,127.223868,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,대전광역시유성구대덕대로989번길242(대진동)
한전원전연료(주),83,한전원전연료(주),한전원전연료(주),R,36.256908,127.223868,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,대전광역시유성구대덕대로989번길242(대진동)
이천시청,84,이천시청,이천시청,R,37.2724,127.435,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,중리동 490
남동구청,85,남동구청,남동구청,R,37.44721944,126.7315333,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,인천광역시남동구만수동1008
통영시청,86,통영시청,통영시청,R,34.854,128.433,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,통영해안로515(무전동357)
거제시청,87,거제시청,거제시청,R,34.854,128.433,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,계룡로125
양천군청,88,양천군청,양천군청,R,37.5168,126.8663,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,인제읍인제로197번길8
동두천시청,89,동두천시청,동두천시청,R,37.9,127.06,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,생연동
전남대여수캠퍼스,90,전남대여수캠퍼스,전남대여수캠퍼스,R,34.77,127.69,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,전남대여수캠퍼스학생로50
강남구청,91,강남구청,강남구청,R,37.517292,127.047381,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,서울시강남구삼성동16-1
임실군청,92,임실군청,임실군청,R,35.61,127.28,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,임실읍이도리78
충북도도청,93,충북도도청,충북도도청,R,36.63,127.49,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,충북청주시상당구문화동89
교원대학교,94,교원대학교,교원대학교,R,36.6135,127.358,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
관악구청,95,관악구청,관악구청,R,37.4787,126.9508,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,봉천동1570-1
인천소방안전본부,96,인천소방안전본부,인천소방안전본부,R,37.4481,126.669,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,인하로190
올림픽대교,97,올림픽대교,올림픽대교,R,37.5339,127.1038,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,구의동올림픽대교
강화군청,98,강화군청,강화군청,R,37.7474,126.4833,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,봉천동1570-1
연천군청,99,연천군청,연천군청,R,38.096377,127.074973,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,연천읍연천로220
전남대광주,100,전남대광주,전남대광주,R,35.17,126.9,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,용봉로
괴산군청,101,괴산군청,괴산군청,R,36.8153,127.7866,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,괴산읍서부리125
영월화력발전소,102,영월화력발전소,영월화력발전소,R,37.2011,128.4909,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,영월읍정양리
음성군청,103,음성군청,음성군청,R,36.94,127.690522,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,음성읍중앙로173
강원대학교삼척캠퍼스,104,강원대학교삼척캠퍼스,강원대학교삼척캠퍼스,R,37.452216,129.161866,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,강원도삼척시중앙로346
시흥시청,105,시흥시청,시흥시청,R,37.38003,126.802821,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,시흥시
안산시청,106,안산시청,안산시청,R,37.3218,126.8308,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,단원구고잔동515
양양공항,107,양양공항,양양공항,R,38.05911,128.662944,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,손양면동호리산281-1
여수공항,108,여수공항,여수공항,R,34.8425,127.612639,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,율촌면여순로386
영흥화력발전소,109,영흥화력발전소,영흥화력발전소,R,37.2372,126.4352,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,영흥면외리
석유공사구리지사,110,석유공사구리지사,석유공사구리지사,R,37.34,127.06,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,구리지사통제실
석유공사동해지사,111,석유공사동해지사,석유공사동해지사,R,37.5,129.08,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,통제실
석유공사용인지사,112,석유공사용인지사,석유공사용인지사,R,37.1,127.16,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,통제실
안양시청,113,안양시청,안양시청,R,37.394065,126.9565,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,경기도안양시동안구시민대로235
진주시청,114,진주시청,진주시청,R,35.1802,128.1084,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,상대동284
공주대학교,115,공주대학교,공주대학교,R,36.46,127.14,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,공주대학로56
충남대학교,116,충남대학교,충남대학교,R,36.368517,127.344122,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,대학로99
행주대교,117,행주대교,행주대교,R,37.5979,126.8098,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,방화동행주대교
