TITLE,TYPEID,Name,Description,Icon_color,Long,Lat,URL,Thumb_URL,imageUrl,주소,fctyCd,gvmtCd
한전원전연료(주),144,한전원전연료(주),한전원전연료(주),R,127.223868,36.256908,http://10.32.28.204:8001/img/common/ico_map09.png,http://10.32.28.204:8001/img/common/ico_map09.png,http://10.32.28.204:8001/img/common/ico_map09.png,대전광역시 유성구대덕대로989번길242(대진동),N1,NF
광주시청,145,광주시청,광주시청,R,127.2549,37.4291,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,경기도 광주시행정타운로50(송정동570),GJ,GK
웅상,146,웅상,웅상,R,129.157816,35.415116,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,NULL,US,GS
한전원전연료(주),147,한전원전연료(주),한전원전연료(주),R,127.223868,36.256908,http://10.32.28.204:8001/img/common/ico_map09.png,http://10.32.28.204:8001/img/common/ico_map09.png,http://10.32.28.204:8001/img/common/ico_map09.png,대전광역시 유성구대덕대로989번길242(대진동),N2,NF
평택기지,148,평택기지,평택기지,R,126.7922,37.1,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,경기도 평택시포성읍 원정리,PT,GS
인천기지,149,인천기지,인천기지,R,126.6005,37.3535,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,인천광역시 연수구동춘동,IC,GS
충남도청,150,충남도청,충남도청,R,126.67,36.65,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,충남 홍성군홍북면신경리455-44,CN,CN
공주대학교,151,공주대학교,공주대학교,R,127.14,36.46,http://10.32.28.204:8001/img/common/ico_map02.png,http://10.32.28.204:8001/img/common/ico_map02.png,http://10.32.28.204:8001/img/common/ico_map02.png,충남 공주시공주대학로56,GG,AC
통영기지,152,통영기지,통영기지,R,128.4146,34.9502,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,경남 통영시광도면 안정리 1179,TY,GS
창원(시청),153,창원(시청),창원(시청),R,128.63,35.24,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,경남 창원시의창구 용호동 1,CW,GS
남동,154,남동,남동,R,126.7,37.39,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,NULL,ND,GS
용강,155,용강,용강,R,129.22,35.86,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,NULL,YG,GS
고척,156,고척,고척,R,126.86,37.49,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,NULL,GC,GS
의정부(시청),157,의정부(시청),의정부(시청),R,127.04,37.76,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,경기도 의정부시의정부동 326-2,EB,GS
청주(시청),158,청주(시청),청주(시청),R,127.45,36.65,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,충북 청주시상당구 북문로 3가 89-1,CJ,GS
